date	Treat_veg	Treat_OTC	Flunctional_group	Species	Plot	Position	vh 	vw 	nlc	nb	lll 	Dia 						
2022-03-22	noveg	noOTC	Succulent	Cotyledon_orbiculata	1.5	6	8	56	18	NA	5	NA						
2021-11-17	noveg	noOTC	Succulent	Euphorbia_clavarioides	1.5	11	NA	NA	NA	NA	NA	NA						
2022-01-23	noveg	noOTC	Succulent	Euphorbia_clavarioides	1.5	11	3	132	NA	NA	NA	NA						
2022-03-22	noveg	noOTC	Succulent	Euphorbia_clavarioides	1.5	11	2	121	NA	NA	NA	NA						
2021-11-17	noveg	noOTC	Shrub	Cotoneaster	1.5	2	4	30	1	5	1	4.44						
2022-01-23	noveg	noOTC	Shrub	Cotoneaster	1.5	2	3	15	9	3	1	7.3						
2022-03-22	noveg	noOTC	Shrub	Cotoneaster	1.5	2	2	28	5	3	1	2.25						
2021-11-17	noveg	noOTC	Shrub	Buddleja_loricata	1.5	5	60	1200	15	10	9	7.62						
2022-01-23	noveg	noOTC	Shrub	Buddleja_loricata	1.5	5	60	850	25	8	10	8.31						
2022-03-22	noveg	noOTC	Shrub	Buddleja_loricata	1.5	5	60	900	14	4	9	8.11						
2021-11-17	noveg	noOTC	Shrub	Leucosidea_sericea	1.5	12	28	190	19	9	3.5	5.11						
2022-01-23	noveg	noOTC	Shrub	Leucosidea_sericea	1.5	12	27	360	NA	6	2	4.3						
2022-03-22	noveg	noOTC	Shrub	Leucosidea_sericea	1.5	12	28	323	30	6	2	4.75						
2021-11-17	noveg	noOTC	Geophyte	Scilla	1.5	4	5	4	3	NA	NA	NA						
2022-01-23	noveg	noOTC	Geophyte	Scilla	1.5	4	8	4	NA	NA	NA	NA						
2022-03-22	noveg	noOTC	Geophyte	Scilla	1.5	4	10	36	6	NA	6	NA						
2021-11-17	noveg	noOTC	Geophyte	Watsonia_socialis_	1.5	7	40	2	3	NA	NA	NA						
2022-01-23	noveg	noOTC	Geophyte	Watsonia_socialis_	1.5	7	3	1	NA	NA	NA	NA						
2022-03-22	noveg	noOTC	Geophyte	Watsonia_socialis_	1.5	7	NA	NA	NA	NA	NA	NA						
2021-11-17	noveg	noOTC	Geophyte	Xerophyta_viscosa_	1.5	10	9	84	NA	NA	NA	NA						
2022-01-23	noveg	noOTC	Geophyte	Xerophyta_viscosa_	1.5	10	6	77	NA	NA	NA	NA						
2022-03-22	noveg	noOTC	Geophyte	Xerophyta_viscosa_	1.5	10	16	49	NA	NA	NA	NA						
2021-11-17	noveg	noOTC	Grass	Eragrostis_capensis	1.5	3	50	360	NA	NA	NA	NA						
2022-01-23	noveg	noOTC	Grass	Eragrostis_capensis	1.5	3	12	154	NA	NA	NA	NA						
2022-03-22	noveg	noOTC	Grass	Eragrostis_capensis	1.5	3	37	324	NA	NA	NA	NA						
2021-11-17	noveg	noOTC	Grass	Aristidia_juciformis	1.5	8	35	168	NA	NA	NA	NA						
2022-01-23	noveg	noOTC	Grass	Aristidia_juciformis	1.5	8	26	81	NA	NA	NA	NA						
2022-03-22	noveg	noOTC	Grass	Aristidia_juciformis	1.5	8	22	49	NA	NA	NA	NA						
2021-11-17	noveg	noOTC	Grass	Melinis_nerviglumis_	1.5	9	10	42	NA	NA	NA	NA						
2022-01-23	noveg	noOTC	Grass	Melinis_nerviglumis_	1.5	9	7	36	NA	NA	NA	NA						
2022-03-22	noveg	noOTC	Grass	Melinis_nerviglumis_	1.5	9	9	16	NA	NA	NA	NA						
2021-11-17	noveg	withOTC	Succulent	Aloe_maculata	1.6	1	17	400	16	NA	8	NA						
2022-01-23	noveg	withOTC	Succulent	Aloe_maculata	1.6	1	20	399	16	NA	NA	NA						
2022-03-22	noveg	withOTC	Succulent	Aloe_maculata	1.6	1	19	484	14	NA	11	NA						
2021-11-17	noveg	withOTC	Succulent	Euphobia_pilvinata	1.6	6	7	100	NA	NA	NA	NA						
2022-01-23	noveg	withOTC	Succulent	Euphobia_pilvinata	1.6	6	6	121	NA	NA	NA	NA						
2022-03-22	noveg	withOTC	Succulent	Euphobia_pilvinata	1.6	6	5	169	NA	NA	NA	NA						
2021-11-17	noveg	withOTC	Succulent	Euphorbia_clavarioides	1.6	11	NA	NA	NA	NA	NA	NA						
2022-01-23	noveg	withOTC	Succulent	Euphorbia_clavarioides	1.6	11	3	56	NA	NA	NA	NA						
2022-03-22	noveg	withOTC	Succulent	Euphorbia_clavarioides	1.6	11	2	81	NA	NA	NA	NA						
2021-11-17	noveg	withOTC	Shrub	Cotoneaster	1.6	2	3	12	20	11	1	2.9						
2022-01-23	noveg	withOTC	Shrub	Cotoneaster	1.6	2	9	66	NA	11	1	2.14						
2022-03-22	noveg	withOTC	Shrub	Cotoneaster	1.6	2	9	100	25	5	1	3.06						
2021-11-17	noveg	withOTC	Shrub	Leucosidea_sericea	1.6	5	31	12	3	2	1	3.8						
2022-01-23	noveg	withOTC	Shrub	Leucosidea_sericea	1.6	5	4	20	6	NA	NA	NA						
2022-03-22	noveg	withOTC	Shrub	Leucosidea_sericea	1.6	5	8	48	6	1	2	2.65						
2021-11-17	noveg	withOTC	Shrub	Bufddleja_loricata	1.6	12	40	1200	5	3	5	6.9						
2022-01-23	noveg	withOTC	Shrub	Bufddleja_loricata	1.6	12	40	192	3	4	7	9.2						
2022-03-22	noveg	withOTC	Shrub	Bufddleja_loricata	1.6	12	56	2772	3	4	8	5.83						
2021-11-17	noveg	withOTC	Geophyte	Scilla	1.6	4	10	16	5	NA	10	NA						
2022-01-23	noveg	withOTC	Geophyte	Scilla	1.6	4	12	16	6	NA	12	NA						
2022-03-22	noveg	withOTC	Geophyte	Scilla	1.6	4	16	484	6	NA	15	NA						
2021-11-17	noveg	withOTC	Geophyte	Dierama	1.6	7	40	1	3	NA	NA	NA						
2022-01-23	noveg	withOTC	Geophyte	Dierama	1.6	7	NA	NA	NA	NA	NA	NA						
2022-03-22	noveg	withOTC	Geophyte	Dierama	1.6	7	NA	NA	NA	NA	NA	NA						
2021-11-17	noveg	withOTC	Geophyte	Crinum_bulbispermum	1.6	10	23	50	3	NA	10	NA						
2022-01-23	noveg	withOTC	Geophyte	Crinum_bulbispermum	1.6	10	14	5	20	NA	14	NA						
2022-03-22	noveg	withOTC	Geophyte	Crinum_bulbispermum	1.6	10	20	195	NA	NA	NA	NA						
2021-11-17	noveg	withOTC	Grass	Eragrostis_capensis	1.6	3	57	210	NA	NA	NA	NA						
2022-01-23	noveg	withOTC	Grass	Eragrostis_capensis	1.6	3	32	304	NA	NA	NA	NA						
2022-03-22	noveg	withOTC	Grass	Eragrostis_capensis	1.6	3	47	160	NA	NA	NA	NA						
2021-11-17	noveg	withOTC	Grass	Aristiadia_juciformis	1.6	8	41	289	NA	NA	NA	NA						
2022-01-23	noveg	withOTC	Grass	Aristiadia_juciformis	1.6	8	20	100	NA	NA	NA	NA						
2022-03-22	noveg	withOTC	Grass	Aristiadia_juciformis	1.6	8	26	49	NA	NA	NA	NA						
2021-11-17	noveg	withOTC	Grass	Melinis_nerviglumis_	1.6	9	12	224	NA	NA	NA	NA						
2022-01-23	noveg	withOTC	Grass	Melinis_nerviglumis_	1.6	9	7	36	NA	NA	NA	NA						
2022-03-22	noveg	withOTC	Grass	Melinis_nerviglumis_	1.6	9	11	64	NA	NA	NA	NA						
2021-11-17	withveg	withOTC	Succulent	Aloe_maculata	2.1	1	6	35	4	NA	3	NA						
2022-01-23	withveg	withOTC	Succulent	Aloe_maculata	2.1	1	5	35	4	NA	NA	NA						
2022-03-22	withveg	withOTC	Succulent	Aloe_maculata	2.1	1	7	49	4	NA	6	NA						
2021-11-17	withveg	withOTC	Succulent	Euphorbia_clavariodes	2.1	6	NA	NA	NA	NA	NA	NA						
2022-01-23	withveg	withOTC	Succulent	Euphorbia_clavariodes	2.1	6	3	168	NA	NA	NA	NA						
2022-03-22	withveg	withOTC	Succulent	Euphorbia_clavariodes	2.1	6	3	196	NA	NA	NA	NA						
2021-11-17	withveg	withOTC	Succulent	Cotyledon_orbiculata	2.1	11	7	32	15	NA	NA	NA						
2022-01-23	withveg	withOTC	Succulent	Cotyledon_orbiculata	2.1	11	7	49	20	NA	NA	NA						
2022-03-22	withveg	withOTC	Succulent	Cotyledon_orbiculata	2.1	11	12	49	8	NA	5	NA						
2021-11-17	withveg	withOTC	Shrub	Cotoneaster	2.1	2	18	9	6	3	1	3.48						
2022-01-23	withveg	withOTC	Shrub	Cotoneaster	2.1	2	9	12	6	2	NA	2.53						
2022-03-22	withveg	withOTC	Shrub	Cotoneaster	2.1	2	19	12	5	1	1	2.93						
2021-11-17	withveg	withOTC	Shrub	Cliffortia	2.1	5	50	260	30	20	1	5.35						
2022-01-23	withveg	withOTC	Shrub	Cliffortia	2.1	5	54	360	30	4	1	5.1						
2022-03-22	withveg	withOTC	Shrub	Cliffortia	2.1	5	54	1080	30	8	1	5.16						
2021-11-17	withveg	withOTC	Shrub	Buddleja_salvifolia	2.1	12	30	432	17	3	18	4.5						
2022-01-23	withveg	withOTC	Shrub	Buddleja_salvifolia	2.1	12	23	247	10	2	17	3.5						
2022-03-22	withveg	withOTC	Shrub	Buddleja_salvifolia	2.1	12	26	340	3	2	16	3.93						
2021-11-17	withveg	withOTC	Geophyte	Scilla	2.1	4	7	15	7	NA	NA	NA						
2022-01-23	withveg	withOTC	Geophyte	Scilla	2.1	4	13	144	9	NA	NA	NA						
2022-03-22	withveg	withOTC	Geophyte	Scilla	2.1	4	10	729	6	NA	22	NA						
2021-11-17	withveg	withOTC	Geophyte	Xerophyta_viscosa_	2.1	7	10	100	NA	NA	10	NA						
2022-01-23	withveg	withOTC	Geophyte	Xerophyta_viscosa_	2.1	7	9	49	NA	NA	9	NA						
2022-03-22	withveg	withOTC	Geophyte	Xerophyta_viscosa_	2.1	7	8	81	NA	NA	8	NA						
2021-11-17	withveg	withOTC	Geophyte	Watsonia_socialis_	2.1	10	27	3	3	NA	27	NA						
2022-01-23	withveg	withOTC	Geophyte	Watsonia_socialis_	2.1	10	12	48	4	NA	12	NA						
2022-03-22	withveg	withOTC	Geophyte	Watsonia_socialis_	2.1	10	25	6	3	NA	25	NA						
2021-11-17	withveg	withOTC	Grass	Eragrostis_capensis	2.1	3	83	48	NA	NA	83	NA						
2022-01-23	withveg	withOTC	Grass	Eragrostis_capensis	2.1	3	80	72	NA	NA	80	NA						
2022-03-22	withveg	withOTC	Grass	Eragrostis_capensis	2.1	3	77	120	NA	NA	NA	NA						
2021-11-17	withveg	withOTC	Grass	Aristiadia_juciformis	2.1	8	50	210	NA	NA	NA	NA						
2022-01-23	withveg	withOTC	Grass	Aristiadia_juciformis	2.1	8	40	225	NA	NA	NA	NA						
2022-03-22	withveg	withOTC	Grass	Aristiadia_juciformis	2.1	8	40	225	NA	NA	NA	NA						
2021-11-17	withveg	withOTC	Grass	Melinis_nerviglumis_	2.1	9	15	28	NA	NA	NA	NA						
2022-01-23	withveg	withOTC	Grass	Melinis_nerviglumis_	2.1	9	NA	NA	NA	NA	NA	NA						
2022-03-22	withveg	withOTC	Grass	Melinis_nerviglumis_	2.1	9	NA	NA	NA	NA	NA	NA						
2021-11-17	noveg	withOTC	Succulent	Aloe_maculata	2.3	1	10	156	NA	NA	10	NA						
2022-01-23	noveg	withOTC	Succulent	Aloe_maculata	2.3	1	6	289	20	NA	6	NA						
2022-03-22	noveg	withOTC	Succulent	Aloe_maculata	2.3	1	8	460	12	NA	8	NA						
2021-11-17	noveg	withOTC	Succulent	Euphorbia_pulvinata	2.3	6	11	255	NA	NA	11	NA						
2022-01-23	noveg	withOTC	Succulent	Euphorbia_pulvinata	2.3	6	8	285	NA	NA	8	NA						
2022-03-22	noveg	withOTC	Succulent	Euphorbia_pulvinata	2.3	6	12	400	NA	NA	12	NA						
2021-11-17	noveg	withOTC	Succulent	Cotyledon_orb	2.3	11	8	27	NA	NA	8	NA						
2022-01-23	noveg	withOTC	Succulent	Cotyledon_orb	2.3	11	9	8	NA	NA	9	NA						
2022-03-22	noveg	withOTC	Succulent	Cotyledon_orb	2.3	11	7	64	8	NA	7	NA						
2021-11-17	noveg	withOTC	shrub	Cotoneaster	2.3	2	7	15	9	5	1	1.2						
2022-01-23	noveg	withOTC	shrub	Cotoneaster	2.3	2	8	24	6	3	1	1.8						
2022-03-22	noveg	withOTC	shrub	Cotoneaster	2.3	2	8	72	25	3	1	3.75						
2021-11-17	noveg	withOTC	Shrub	Buddleja_salvifolia	2.3	12	35	306	25	3	17	6.88						
2022-01-23	noveg	withOTC	Shrub	Buddleja_salvifolia	2.3	12	33	95	20	4	NA	5.66						
2022-03-22	noveg	withOTC	Shrub	Buddleja_salvifolia	2.3	12	34	720	25	4	11	3.85						
2021-11-17	noveg	withOTC	shrub	Cliffortia	2.3	5	58	700	730	4	1	5.93						
2022-01-23	noveg	withOTC	shrub	Cliffortia	2.3	5	64	208	25	4	1	5.63						
2022-03-22	noveg	withOTC	shrub	Cliffortia	2.3	5	63	840	25	5	1	7.12						
2021-11-17	noveg	withOTC	Geophyte	Scilla	2.3	4	8	36	6	NA	8	NA						
2022-01-23	noveg	withOTC	Geophyte	Scilla	2.3	4	9	35	6	NA	9	NA						
2022-03-22	noveg	withOTC	Geophyte	Scilla	2.3	4	16	225	6	NA	14	NA						
2021-11-17	noveg	withOTC	Geophyte	Crinum_bulbispermum	2.3	7	9	9	3	NA	9	NA						
2022-01-23	noveg	withOTC	Geophyte	Crinum_bulbispermum	2.3	7	21	136	4	NA	21	NA						
2022-03-22	noveg	withOTC	Geophyte	Crinum_bulbispermum	2.3	7	33	102	NA	NA	33	NA						
2021-11-17	noveg	withOTC	Geophyte	Watsonia_socialis_	2.3	10	33	1	2	NA	33	NA						
2022-01-23	noveg	withOTC	Geophyte	Watsonia_socialis_	2.3	10	35	2	2	NA	35	NA						
2022-03-22	noveg	withOTC	Geophyte	Watsonia_socialis_	2.3	10	30	1	2	NA	30	NA						
2021-11-17	noveg	withOTC	Grass	Eragrostis_capensis	2.3	3	60	100	NA	NA	NA	NA						
2022-01-23	noveg	withOTC	Grass	Eragrostis_capensis	2.3	3	77	216	NA	NA	NA	NA						
2022-03-22	noveg	withOTC	Grass	Eragrostis_capensis	2.3	3	60	400	NA	NA	NA	NA						
2021-11-17	noveg	withOTC	Grass	Aristiadia_juciformis	2.3	8	50	100	NA	NA	NA	NA						
2022-01-23	noveg	withOTC	Grass	Aristiadia_juciformis	2.3	8	51	100	3	NA	11	NA						
2022-03-22	noveg	withOTC	Grass	Aristiadia_juciformis	2.3	8	40	225	NA	NA	NA	NA						
2021-11-17	noveg	withOTC	Grass	Melinis_nerviglumis_	2.3	9	15	182	NA	NA	NA	NA						
2022-01-23	noveg	withOTC	Grass	Melinis_nerviglumis_	2.3	9	15	72	NA	NA	NA	NA						
2022-03-22	noveg	withOTC	Grass	Melinis_nerviglumis_	2.3	9	9	196	NA	NA	NA	NA						
2021-11-17	withveg	noOTC	Succulent	Aloe_maculata	2.4	1	12	100	7	NA	7	NA						
2022-01-23	withveg	noOTC	Succulent	Aloe_maculata	2.4	1	7	156	8	NA	7	NA						
2022-03-22	withveg	noOTC	Succulent	Aloe_maculata	2.4	1	6	144	8	NA	7	NA						
2021-11-17	withveg	noOTC	Succulent	Euphorbia_pulvinata	2.4	6	9	195	NA	NA	9	NA						
2022-01-23	withveg	noOTC	Succulent	Euphorbia_pulvinata	2.4	6	6	169	NA	NA	6	NA						
2022-03-22	withveg	noOTC	Succulent	Euphorbia_pulvinata	2.4	6	8	196	NA	NA	8	NA						
2021-11-17	withveg	noOTC	Succulent	Euphorbia_clavarioides	2.4	11	NA	NA	NA	NA	NA	NA						
2022-01-23	withveg	noOTC	Succulent	Euphorbia_clavarioides	2.4	11	4	144	NA	NA	4	NA						
2022-03-22	withveg	noOTC	Succulent	Euphorbia_clavarioides	2.4	11	4	169	NA	NA	4	NA						
2021-11-17	withveg	noOTC	Shrub	Rosa_rubigosa	2.4	2	15	2	2	0	0.5	2.4						
2022-01-23	withveg	noOTC	Shrub	Rosa_rubigosa	2.4	2	15	3	2	0	0.5	2.4						
2022-03-22	withveg	noOTC	Shrub	Rosa_rubigosa	2.4	2	30	35	5	0	1	1.99						
2021-11-17	withveg	noOTC	Shrub	Leucosidea_	2.4	5	20	16	2	3	1	4.67						
2022-01-23	withveg	noOTC	Shrub	Leucosidea_	2.4	5	20	20	5	2	2	4.14						
2022-03-22	withveg	noOTC	Shrub	Leucosidea_	2.4	5	19	36	6	8	2	4.8						
2021-11-17	withveg	noOTC	Shrub	Leucosidea_	2.4	12	36	1000	7	7	8	7.8						
2022-01-23	withveg	noOTC	Shrub	Leucosidea_	2.4	12	22	150	12	10	NA	4.06						
2022-03-22	withveg	noOTC	Shrub	Leucosidea_	2.4	12	21	144	12	3	2	6.34						
2021-11-17	withveg	noOTC	Geophyte	Scilla	2.4	4	3	4	1	NA	1	NA						
2022-01-23	withveg	noOTC	Geophyte	Scilla	2.4	4	7	25	6	NA	4	NA						
2022-03-22	withveg	noOTC	Geophyte	Scilla	2.4	4	8	195	3	NA	6	NA						
2021-11-17	withveg	noOTC	Geophyte	Kniphofia_lineariifolia	2.4	7	9	42	6	NA	9	NA						
2022-01-23	withveg	noOTC	Geophyte	Kniphofia_lineariifolia	2.4	7	10	36	5	NA	10	NA						
2022-03-22	withveg	noOTC	Geophyte	Kniphofia_lineariifolia	2.4	7	30	154	NA	NA	30	NA						
2021-11-17	withveg	noOTC	Geophyte	Crinum_bulbispermum	2.4	10	11	12	3	NA	11	NA						
2022-01-23	withveg	noOTC	Geophyte	Crinum_bulbispermum	2.4	10	18	38	5	NA	18	NA						
2022-03-22	withveg	noOTC	Geophyte	Crinum_bulbispermum	2.4	10	14	21	NA	NA	14	NA						
2021-11-17	withveg	noOTC	Grass	Aristidia_juciformis	2.4	8	35	140	NA	NA	NA	NA						
2022-01-23	withveg	noOTC	Grass	Aristidia_juciformis	2.4	8	30	49	NA	NA	NA	NA						
2022-03-22	withveg	noOTC	Grass	Aristidia_juciformis	2.4	8	NA	NA	NA	NA	NA	NA						
2021-11-17	withveg	noOTC	Grass	Melinis_nerviglumis_	2.4	9	20	169	NA	NA	NA	NA						
2022-01-23	withveg	noOTC	Grass	Melinis_nerviglumis_	2.4	9	NA	NA	NA	NA	NA	NA						
2022-03-22	withveg	noOTC	Grass	Melinis_nerviglumis_	2.4	9	NA	NA	NA	NA	NA	NA						
2021-11-17	withveg	noOTC	Grass	Eragrostis	2.4	3	35	56	NA	NA	NA	NA						
2022-01-23	withveg	noOTC	Grass	Eragrostis	2.4	3	20	64	NA	NA	NA	NA						
2022-03-22	withveg	noOTC	Grass	Eragrostis	2.4	3	27	81	NA	NA	NA	NA						
2021-11-17	withveg	noOTC	Geophyte	Xerophyta_viscosa_	1.2	10	37	1	NA	NA	37	NA						
2022-01-23	withveg	noOTC	Geophyte	Xerophyta_viscosa_	1.2	10	NA	NA	NA	NA	NA	NA						
2022-03-22	withveg	noOTC	Geophyte	Xerophyta_viscosa_	1.2	10	NA	NA	NA	NA	NA	NA						
2021-11-17	withveg	noOTC	Succulent	Euphorbia_clavarioides	1.2	11	5	40	7	NA	NA	NA						
2022-01-23	withveg	noOTC	Succulent	Euphorbia_clavarioides	1.2	11	4	30	9	NA	NA	NA						
2022-03-22	withveg	noOTC	Succulent	Euphorbia_clavarioides	1.2	11	5	36	9	NA	4	NA						
2021-11-17	withveg	noOTC	Shrub	Leucosidea_sericea	1.2	12	17	54	18	3	7	3.93						
